TIMESTAMP;ASPECT;RATER1;RATER2;GROUP;COMP;TASK
Feb 03, 11 32 47 AM.png;Novelty;0;1;1;HAI;toddler
Feb 03, 11 33 37 AM.png;Novelty;3;2;1;HAI;toddler
Feb 03, 11 34 29 AM.png;Novelty;0;1;1;HAI;toddler
Feb 03, 11 35 04 AM.png;Novelty;2;1;1;HAI;toddler
Feb 03, 11 35 47 AM.png;Novelty;1;2;1;HAI;toddler
Feb 03, 11 37 20 AM.png;Novelty;4;4;1;HAI;toddler
Feb 03, 11 38 13 AM.png;Novelty;4;3;1;HAI;toddler
Feb 10, 11 17 20 AM.png;Novelty;0;0;2;HH;toddler
Feb 10, 11 17 34 AM.png;Novelty;0;1;2;HH;toddler
Feb 10, 11 18 00 AM.png;Novelty;1;1;2;HH;toddler
Feb 10, 11 18 36 AM.png;Novelty;3;3;2;HH;toddler
Feb 10, 11 19 00 AM.png;Novelty;0;0;2;HH;toddler
Feb 10, 11 19 34 AM.png;Novelty;3;3;2;HH;toddler
Feb 10, 11 20 03 AM.png;Novelty;1;1;2;HH;toddler
Feb 10, 11 20 35 AM.png;Novelty;0;1;2;HH;toddler
Feb 10, 11 21 50 AM.png;Novelty;2;2;2;HH;toddler
Feb 10, 11 22 22 AM.png;Novelty;4;3;2;HH;toddler
Feb 10, 11 22 49 AM.png;Novelty;3;2;2;HH;toddler
Feb 10, 11 23 45 AM.png;Novelty;3;3;2;HH;toddler
Feb 10, 11 24 28 AM.png;Novelty;4;4;2;HH;toddler
Feb 10, 11 24 58 AM.png;Novelty;2;2;2;HH;toddler
Feb 12, 12 11 PM.png;Novelty;0;0;3;HH;toddler
Feb 12, 12 11 PM.png;Novelty;1;1;3;HH;toddler
Feb 12, 12 11 PM.png;Novelty;0;0;3;HH;toddler
Feb 12, 12 11 PM.png;Novelty;2;2;3;HH;toddler
Feb 12, 12 11 PM.png;Novelty;2;3;3;HH;toddler
Feb 12, 12 11 PM.png;Novelty;2;2;3;HH;toddler
Feb 20, 3 18 21 PM.png;Novelty;0;0;4;HH;toddler
Feb 20, 3 19 00 PM.png;Novelty;3;3;4;HH;toddler
Feb 20, 3 20 58 PM.png;Novelty;4;2;4;HH;toddler
Jan 15, 10 10 09 AM.png;Novelty;1;1;5;HH;toddler
Jan 15, 10 17 32 AM.png;Novelty;0;0;5;HH;toddler
Jan 15, 10 19 31 AM.png;Novelty;1;1;5;HH;toddler
Jan 15, 10 20 56 AM.png;Novelty;0;0;5;HH;toddler
Jul 09, 2 23 16 PM.png;Novelty;0;0;6;HAI;toddler
Jul 09, 2 24 17 PM.png;Novelty;0;0;6;HAI;toddler
Jul 09, 2 24 31 PM.png;Novelty;4;4;6;HAI;toddler
Jul 09, 2 25 04 PM.png;Novelty;3;2;6;HAI;toddler
Jul 09, 2 25 41 PM.png;Novelty;4;3;6;HAI;toddler
Jul 09, 2 26 15 PM.png;Novelty;4;4;6;HAI;toddler
Jul 17, 2 06 03 PM.png;Novelty;4;3;7;HAI;toddler
Jul 17, 2 06 49 PM.png;Novelty;0;0;7;HAI;toddler
Jul 17, 2 07 49 PM.png;Novelty;0;0;7;HAI;toddler
Jul 17, 2 09 25 PM.png;Novelty;4;3;7;HAI;toddler
Jul 17, 3 45 27 PM.png;Novelty;0;0;8;HAI;toddler
Jul 17, 3 46 48 PM.png;Novelty;2;2;8;HAI;toddler
Jul 17, 3 47 45 PM.png;Novelty;3;3;8;HAI;toddler
Jul 18, 10 13 20 AM.png;Novelty;2;1;9;HH;toddler
Jul 18, 10 15 30 AM.png;Novelty;0;0;9;HH;toddler
Jul 18, 10 16 05 AM.png;Novelty;4;3;9;HH;toddler
Jul 18, 10 16 44 AM.png;Novelty;4;3;9;HH;toddler
Jul 18, 10 18 27 AM.png;Novelty;3;3;10;HH;toddler
Jul 18, 10 22 52 AM.png;Novelty;4;4;10;HH;toddler
Jul 18, 10 23 28 AM.png;Novelty;2;3;10;HH;toddler
Jul 19, 10 07 37 AM.png;Novelty;2;2;11;HAI;toddler
Jul 19, 10 10 37 AM.png;Novelty;0;0;11;HAI;toddler
Jul 19, 10 11 37 AM.png;Novelty;4;2;11;HAI;toddler
Jul 19, 10 12 37 AM.png;Novelty;4;4;11;HAI;toddler
Jul 19, 10 14 09 AM.png;Novelty;0;0;12;HAI;toddler
Jul 19, 10 15 07 AM.png;Novelty;0;1;12;HAI;toddler
Jul 19, 10 15 44 AM.png;Novelty;2;1;12;HAI;toddler
Jul 19, 10 17 33 AM.png;Novelty;3;2;12;HAI;toddler
Jul 19, 10 18 34 AM.png;Novelty;4;3;12;HAI;toddler
Jul 19, 10 52 32 AM.png;Novelty;0;0;13;HAI;toddler
Jul 19, 10 54 23 AM.png;Novelty;0;1;13;HH;toddler
Jul 19, 11 02 15 AM.png;Novelty;1;1;13;HH;toddler
Jul 19, 9 10 11 AM.png;Novelty;0;0;14;HAI;toddler
Jul 19, 9 13 30 AM.png;Novelty;4;3;14;HAI;toddler
Jul 19, 9 15 07 AM.png;Novelty;0;1;14;HAI;toddler
Jul 20, 3 33 36 PM.png;Novelty;0;0;15;HH;toddler
Jul 20, 3 34 08 PM.png;Novelty;0;0;15;HH;toddler
Jul 20, 3 35 36 PM.png;Novelty;2;2;15;HH;toddler
Jul 24, 12 21 22 PM.png;Novelty;1;1;16;HH;toddler
Jul 24, 12 23 52 PM.png;Novelty;0;0;16;HH;toddler
Jul 24, 12 24 24 PM.png;Novelty;0;0;16;HH;toddler
Jul 24, 12 26 21 PM.png;Novelty;3;2;16;HH;toddler
Jul 24, 12 27 08 PM.png;Novelty;0;0;16;HH;toddler
Jul 24, 12 28 29 PM.png;Novelty;0;0;16;HH;toddler
Jul 24, 3 13 27 PM.png;Novelty;3;3;17;HAI;toddler
Jul 24, 3 16 57 PM.png;Novelty;1;2;17;HAI;toddler
Jul 24, 3 19 58 PM.png;Novelty;3;3;17;HAI;toddler
Jul 24, 3 28 58 PM.png;Novelty;2;1;17;HAI;toddler
Jul 25, 3 38 09 PM.png;Novelty;0;0;18;HAI;toddler
Jul 25, 3 42 07 PM.png;Novelty;1;1;18;HAI;toddler
Jul 25, 3 48 13 PM.png;Novelty;3;3;18;HAI;toddler
Jul 25, 3 49 07 PM.png;Novelty;0;0;18;HAI;toddler
Jul 26, 1 12 09 PM.png;Novelty;1;1;19;HH;toddler
Jul 26, 1 14 44 PM.png;Novelty;0;0;19;HH;toddler
Jul 26, 1 17 51 PM.png;Novelty;0;0;19;HH;toddler
Jul 26, 1 19 56 PM.png;Novelty;0;0;19;HH;toddler
Jul 30, 12 20 22 PM.png;Novelty;0;0;20;HH;toddler
Jul 30, 12 21 44 PM.png;Novelty;0;0;20;HH;toddler
Jul 30, 12 22 56 PM.png;Novelty;1;1;20;HH;toddler
Jul 30, 12 24 36 PM.png;Novelty;0;0;20;HH;toddler
Jul 30, 12 25 36 PM.png;Novelty;1;1;20;HH;toddler
Sep 19, 8 40 06 AM.png;Novelty;0;0;21;HAI;toddler
Sep 19, 8 43 05 AM.png;Novelty;3;3;21;HAI;toddler
Sep 19, 8 43 28 AM.png;Novelty;4;3;21;HAI;toddler
Sep 19, 8 43 50 AM.png;Novelty;0;1;21;HAI;toddler
Sep 19, 8 44 13 AM.png;Novelty;0;0;21;HAI;toddler
Sep 19, 8 44 39 AM.png;Novelty;0;0;21;HAI;toddler
Sep 19, 8 45 04 AM.png;Novelty;0;0;21;HAI;toddler
Sep 19, 8 45 37 AM.png;Novelty;1;1;21;HAI;toddler
Sep 19, 8 46 01 AM.png;Novelty;0;0;21;HAI;toddler
Feb 03, 12 38 47 PM.png;Novelty;1;1;22;HH;toddler
Feb 03, 12 40 47 PM.png;Novelty;2;1;22;HH;toddler
Feb 03, 12 41 51 PM.png;Novelty;2;2;22;HH;toddler
Feb 03, 11 40 07 AM.png;novelty;2;2;1;HAI;computer
Feb 03, 11 41 06 AM.png;novelty;0;0;1;HAI;computer
Feb 03, 11 41 41 AM.png;novelty;0;0;1;HAI;computer
Feb 03, 11 42 21 AM.png;novelty;2;3;1;HAI;computer
Feb 03, 11 43 03 AM.png;novelty;0;0;1;HAI;computer
Feb 03, 11 44 01 AM.png;novelty;0;0;1;HAI;computer
Feb 03, 11 44 41 AM.png;novelty;3;1;1;HAI;computer
Feb 03, 11 45 12 AM.png;novelty;2;3;1;HAI;computer
Feb 03, 11 45 58 AM.png;novelty;3;3;1;HAI;computer
Feb 03, 11 46 29 AM.png;novelty;3;3;1;HAI;computer
Feb 10, 11 32 29 AM.png;novelty;1;1;2;HH;computer
Feb 10, 11 33 04 AM.png;novelty;3;3;2;HH;computer
Feb 10, 11 33 22 AM.png;novelty;1;1;2;HH;computer
Feb 10, 11 26 48 AM.png;novelty;0;0;2;HH;computer
Feb 10, 11 27 03 AM.png;novelty;0;0;2;HH;computer
Feb 10, 11 27 18 AM.png;novelty;3;3;2;HH;computer
Feb 10, 11 27 50 AM.png;novelty;3;1;2;HH;computer
Feb 10, 11 28 10 AM.png;novelty;1;1;2;HH;computer
Feb 10, 11 28 36 AM.png;novelty;1;2;2;HH;computer
Feb 10, 11 29 10 AM.png;novelty;0;0;2;HH;computer
Feb 10, 11 29 35 AM.png;novelty;4;3;2;HH;computer
Feb 10, 11 30 03 AM.png;novelty;1;1;2;HH;computer
Feb 10, 11 30 24 AM.png;novelty;3;1;2;HH;computer
Feb 10, 11 30 50 AM.png;novelty;3;1;2;HH;computer
Feb 10, 11 31 22 AM.png;novelty;3;4;2;HH;computer
Feb 12, 12 13 02 PM.png;novelty;0;0;3;HH;computer
Feb 12, 12 13 26 PM.png;novelty;2;2;3;HH;computer
Feb 12, 12 14 15 PM.png;novelty;1;1;3;HH;computer
Feb 12, 12 16 17 PM.png;novelty;3;3;3;HH;computer
Feb 12, 12 17 00 PM.png;novelty;3;3;3;HH;computer
Feb 12, 12 17 34 PM.png;novelty;0;0;3;HH;computer
Feb 12, 12 20 18 PM.png;novelty;1;1;3;HH;computer
Feb 12, 12 21 13 PM.png;novelty;0;0;3;HH;computer
Feb 12, 12 21 58 PM.png;novelty;3;3;3;HH;computer
Feb 12, 12 23 07 PM.png;novelty;3;3;3;HH;computer
Feb 12, 12 24 08 PM.png;novelty;2;2;3;HH;computer
Feb 12, 12 25 34 PM.png;novelty;3;3;3;HH;computer
Feb 12, 12 26 34 PM.png;novelty;2;2;3;HH;computer
Feb 20, 03 23 13 PM.png;novelty;0;0;4;HH;computer
Feb 20, 03 24 40 PM.png;novelty;0;0;4;HH;computer
Feb 20, 03 25 30 PM.png;novelty;4;3;4;HH;computer
Feb 20, 03 27 25 PM.png;novelty;2;1;4;HH;computer
Feb 20, 03 28 54 PM.png;novelty;1;1;4;HH;computer
Jan 15, 10 31 48 AM.png;novelty;0;0;5;HAI;computer
Jan 15, 10 33 06 AM.png;novelty;3;2;5;HAI;computer
Jan 15, 10 34 06 AM.png;novelty;3;3;5;HAI;computer
Jan 15, 10 35 26 AM.png;novelty;3;4;5;HAI;computer
Jan 15, 10 36 44 AM.png;novelty;0;0;5;HAI;computer
Jul 09, 2 26 37 PM.png;novelty;0;0;6;HAI;computer
Jul 09, 2 29 39 PM.png;novelty;0;0;6;HAI;computer
Jul 09, 2 30 51 PM.png;novelty;0;0;6;HAI;computer
Jul 09, 2 31 22 PM.png;novelty;0;0;6;HAI;computer
Jul 09, 2 32 04 PM.png;novelty;2;1;6;HAI;computer
Jul 09, 2 33 32 PM.png;novelty;0;0;6;HAI;computer
Jul 09, 2 34 43 PM.png;novelty;0;0;6;HAI;computer
Jul 09, 2 37 25 PM.png;novelty;0;0;6;HAI;computer
Jul 09, 2 38 59 PM.png;novelty;2;1;6;HAI;computer
Jul 09, 2 41 53 PM.png;novelty;0;0;6;HAI;computer
Jul 17, 2 11 27 PM.png;novelty;1;1;7;HAI;computer
Jul 17, 2 12 51 PM.png;novelty;3;2;7;HAI;computer
Jul 17, 2 16 34 PM.png;novelty;0;0;7;HAI;computer
Jul 17, 2 18 19 PM.png;novelty;0;0;7;HAI;computer
Jul 17, 2 19 22 PM.png;novelty;2;3;7;HAI;computer
Jul 17, 3 49 38 PM.png;novelty;3;2;8;HAI;computer
Jul 17, 3 50 54 PM.png;novelty;2;2;8;HAI;computer
Jul 17, 3 52 12 PM.png;novelty;0;0;8;HAI;computer
Jul 17, 3 57 00 PM.png;novelty;3;3;8;HAI;computer
Jul 17, 3 57 36 PM.png;novelty;3;1;8;HAI;computer
Jul 18, 10 21 45 AM.png;novelty;1;1;9;HH;computer
Jul 18, 10 25 15 AM.png;novelty;4;2;9;HH;computer
Jul 18, 10 26 55 AM.png;novelty;0;0;9;HH;computer
Jul 18, 10 29 46 AM.png;novelty;0;0;10;HH;computer
Jul 18, 10 32 43 AM.png;novelty;0;0;10;HH;computer
Jul 18, 10 33 05 AM.png;novelty;0;0;10;HH;computer
Jul 19, 10 14 09 AM.png;novelty;0;0;11;HAI;computer
Jul 19, 10 15 07 AM.png;novelty;0;1;11;HAI;computer
Jul 19, 10 15 44 AM.png;novelty;2;1;11;HAI;computer
Jul 19, 10 17 33 AM.png;novelty;3;2;11;HAI;computer
Jul 19, 10 18 34 AM.png;novelty;4;3;11;HAI;computer
Jul 19, 9 10 11 AM.png;novelty;0;0;12;HAI;computer
Jul 19, 9 13 30 AM.png;novelty;4;3;12;HAI;computer
Jul 19, 9 15 07 AM.png;novelty;0;1;12;HAI;computer
Jul 19, 11 04 22 AM.png;novelty;0;0;13;HAI;computer
Jul 19, 11 06 54 AM.png;novelty;0;1;13;HAI;computer
Jul 19, 11 09 15 AM.png;novelty;1;1;13;HAI;computer
Jul 19, 9 17 30 AM.png;Novelty;2;3;14;HAI;computer
Jul 19, 9 20 11 AM.png;Novelty;1;2;14;HAI;computer
Jul 19, 9 22 07 AM.png;Novelty;4;3;14;HAI;computer
Jul 20, 3 40 21 PM.png;novelty;2;2;15;HH;computer
Jul 20, 3 40 50 PM.png;novelty;2;1;15;HH;computer
Jul 20, 3 41 53 PM.png;novelty;0;0;15;HH;computer
Jul 20, 3 42 44 PM.png;novelty;3;1;15;HH;computer
Jul 24, 12 33 37 PM.png;novelty;0;0;16;HH;computer
Jul 24, 12 36 09 PM.png;novelty;3;3;16;HH;computer
Jul 24, 12 37 40 PM.png;novelty;0;0;16;HH;computer
Jul 24, 12 39 11 PM.png;novelty;3;3;16;HH;computer
Jul 24, 12 39 42 PM.png;novelty;2;1;16;HH;computer
Jul 24, 12 41 00 PM.png;novelty;4;3;16;HH;computer
Jul 24, 3 21 14 PM.png;novelty;3;3;17;HAI;computer
Jul 24, 3 22 37 PM.png;novelty;3;2;17;HAI;computer
Jul 24, 3 25 35 PM.png;novelty;0;0;17;HAI;computer
Jul 25, 3 51 05 PM.png;novelty;0;0;18;HAI;computer
Jul 25, 3 52 36 PM.png;novelty;0;0;18;HAI;computer
Jul 25, 3 53 37 PM.png;novelty;0;0;18;HAI;computer
Jul 25, 3 55 17 PM.png;novelty;0;0;18;HAI;computer
Jul 25, 3 59 05 PM.jpg;novelty;0;0;18;HAI;computer
Jul 26, 1 12 09 PM.png;novelty;1;1;19;HH;computer
Jul 26, 1 14 44 PM.png;novelty;0;0;19;HH;computer
Jul 26, 1 17 51 PM.png;novelty;0;0;19;HH;computer
Jul 26, 1 19 56 PM.png;novelty;0;0;19;HH;computer
Jul 30, 12 26 33 PM.png;novelty;0;0;20;HH;computer
Jul 30, 12 27 22 PM.png;novelty;0;0;20;HH;computer
Jul 30, 12 27 41 PM.png;novelty;0;0;20;HH;computer
Jul 30, 12 29 13 PM.png;novelty;0;0;20;HH;computer
Jul 30, 12 29 55 PM.png;novelty;0;0;20;HH;computer
Jul 30, 12 30 35 PM.png;novelty;0;0;20;HH;computer
Jul 30, 12 31 25 PM.png;novelty;3;2;20;HH;computer
Jul 30, 12 31 34 PM.png;novelty;0;0;20;HH;computer
Jul 30, 12 32 10 PM.png;novelty;0;0;20;HH;computer
Jul 30, 12 32 15 PM.png;novelty;0;0;20;HH;computer
Jul 30, 12 32 23 PM.png;novelty;0;0;20;HH;computer
Sep 19, 8 46 34 AM.png;novelty;3;3;21;HAI;computer
Sep 19, 8 47 29 AM.png;novelty;0;0;21;HAI;computer
Sep 19, 8 47 49 AM.png;novelty;1;1;21;HAI;computer
Sep 19, 8 47 59 AM.png;novelty;1;1;21;HAI;computer
Sep 19, 8 48 54 AM.png;novelty;0;0;21;HAI;computer
Sep 19, 8 49 52 AM.png;novelty;3;2;21;HAI;computer
Sep 19, 8 50 59 AM.png;novelty;0;0;21;HAI;computer
Sep 19, 8 51 22 AM.png;novelty;4;2;21;HAI;computer
Sep 19, 8 51 31 AM.png;novelty;4;3;21;HAI;computer
Sep 19, 8 51 58 AM.png;novelty;2;1;21;HAI;computer
Sep 19, 8 52 25 AM.png;novelty;2;1;21;HAI;computer
Sep 19, 8 52 56 AM.png;novelty;0;0;21;HAI;computer
